Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
Aokana - Four Rhythms Across the Blue - EXTRA2,40,"14,70€","24,50€","Visual Novel, Story Rich, Sports, Cute",Overwhelmingly Positive,99,2206340,https://store.steampowered.com/app/2206340/Aokana__Four_Rhythms_Across_the_Blue__EXTRA2/
Flowers -Le volume sur ete-,40,"10,07€","16,79€","Visual Novel, LGBTQ+, Female Protagonist, Romance",Overwhelmingly Positive,99,858940,https://store.steampowered.com/app/858940/Flowers_Le_volume_sur_ete/
Stardew Valley,40,"8,39€","13,99€","Farming Sim, Pixel Graphics, Multiplayer, Life Sim",Overwhelmingly Positive,98,413150,https://store.steampowered.com/app/413150/Stardew_Valley/
Katana ZERO,40,"8,87€","14,79€","Pixel Graphics, Action, Great Soundtrack, Story Rich",Overwhelmingly Positive,97,460950,https://store.steampowered.com/app/460950/Katana_ZERO/
OneShot,40,"5,85€","9,75€","Story Rich, Pixel Graphics, Indie, Great Soundtrack",Overwhelmingly Positive,98,420530,https://store.steampowered.com/app/420530/OneShot/
VTOL VR,40,"15,59€","25,99€","Flight, VR, Combat, Simulation",Overwhelmingly Positive,98,667970,https://store.steampowered.com/app/667970/VTOL_VR/
Shelldiver,40,"2,99€","4,99€","Incremental, Casual, Resource Management, Management",Overwhelmingly Positive,98,3862670,https://store.steampowered.com/app/3862670/Shelldiver/
Look Outside,40,"5,99€","9,99€","RPG, Survival Horror, Pixel Graphics, Horror",Overwhelmingly Positive,98,3373660,https://store.steampowered.com/app/3373660/Look_Outside/
魔女的夜宴,40,"20,39€","33,99€","Sexual Content, FPS, Hentai, Dating Sim",Overwhelmingly Positive,98,2458530,https://store.steampowered.com/app/2458530/_/
Picayune Dreams,40,"2,99€","4,99€","Bullet Heaven, Bullet Hell, Action Roguelike, Psychedelic",Overwhelmingly Positive,98,2088840,https://store.steampowered.com/app/2088840/Picayune_Dreams/
Frog Detective 3: Corruption at Cowboy County,40,"2,99€","4,99€","Comedy, Funny, Short, Casual",Overwhelmingly Positive,98,1171320,https://store.steampowered.com/app/1171320/Frog_Detective_3_Corruption_at_Cowboy_County/
Endless Monday: Dreams and Deadlines,40,"5,85€","9,75€","Visual Novel, Choose Your Own Adventure, Interactive Fiction, Hand-drawn",Overwhelmingly Positive,98,2262610,https://store.steampowered.com/app/2262610/Endless_Monday_Dreams_and_Deadlines/
Ambidextro,40,"4,79€","7,99€","Precision Platformer, Action, 2D Platformer, Pixel Graphics",Overwhelmingly Positive,98,3445580,https://store.steampowered.com/app/3445580/Ambidextro/
Snail Simulator,40,"2,99€","4,99€","Singleplayer, Exploration, Massively Multiplayer, Collectathon",Overwhelmingly Positive,98,1500740,https://store.steampowered.com/app/1500740/Snail_Simulator/
Flowers -Le volume sur automne-,40,"10,07€","16,79€","Visual Novel, LGBTQ+, Female Protagonist, Romance",Overwhelmingly Positive,98,1238730,https://store.steampowered.com/app/1238730/Flowers_Le_volume_sur_automne/
RAM: Random Access Mayhem,40,"8,99€","14,99€","PvE, Action Roguelike, Roguelite, Fast-Paced",Overwhelmingly Positive,98,2256450,https://store.steampowered.com/app/2256450/RAM_Random_Access_Mayhem/
Schedule I,40,"11,70€","19,50€","Simulation, Co-op, Crime, Management",Overwhelmingly Positive,97,3164500,https://store.steampowered.com/app/3164500/Schedule_I/
Just Shapes & Beats,40,"10,19€","16,99€","Rhythm, Great Soundtrack, Music, Bullet Hell",Overwhelmingly Positive,97,531510,https://store.steampowered.com/app/531510/Just_Shapes__Beats/
Webbed,40,"4,91€","8,19€","2D Platformer, Cute, Pixel Graphics, Physics",Overwhelmingly Positive,97,1390350,https://store.steampowered.com/app/1390350/Webbed/
Touhou Luna Nights,40,"8,99€","14,99€","Metroidvania, Difficult, Side Scroller, Bullet Hell",Overwhelmingly Positive,97,851100,https://store.steampowered.com/app/851100/Touhou_Luna_Nights/
